pred,label,full_pred,full_label,question
51,51,"

Solution:

1. The original price of each pack of dvds is 76 dollars.
2. There is a discount of 25 dollars on each pack.
3. To find the discounted price, subtract the discount from the original price: 76 - 25 = 51 dollars.
4. Therefore, you have to pay 51 dollars to buy each pack of dvds.

Final answer: $\boxed{51}$",The answer is 51,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?
1,1,"

Solution:

1. Dan had $3 left after buying the candy bar.
2. He had $4 at the start.
3. To find out how much the candy bar cost, we need to subtract the amount he had left from the amount he had at the start.
4. So, the cost of the candy bar is $4 - $3 = $1.

The final answer is $\boxed{1}$.",The answer is 1,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?
17,17,"

Solution:

1. Paco started with 26 salty cookies.
2. He ate 9 salty cookies.
3. To find out how many salty cookies Paco had left, subtract the number of salty cookies he ate from the number of salty cookies he started with: 26 - 9 = 17.

Final answer: Paco had $\boxed{17}$ salty cookies left.",The answer is 17,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?
22,22,"

Solution:

1. We know that there were initially 43 children on the bus.
2. After some children got off at the bus stop, there were 21 children left on the bus.
3. To find out how many children got off the bus, we subtract the number of children left on the bus from the initial number of children on the bus.

Number of children who got off the bus = Initial number of children - Number of children left on the bus
= 43 - 21
= 22

So, $\boxed{22}$ children got off the bus at the bus stop.",The answer is 22,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?
2,2,"

Solution:

1. Let's denote the number of children who got off the bus as x.
2. Initially, there were 28 children on the bus.
3. At the bus stop, 82 children got on the bus, and x children got off the bus.
4. After the bus stop, there were 30 children on the bus.
5. So, we can set up the following equation: 28 + 82 - x = 30
6. Simplifying the equation, we get: 110 - x = 30
7. Solving for x, we get: x = 110 - 30 = 80
8. Therefore, 80 children got off the bus.
9. To find out how many more children got on the bus than those that got off, we subtract the number of children who got off from the number of children who got on: 82 - 80 = 2

The final answer is $\boxed{2}$.",The answer is 2,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?
46,46,"

Solution:

1. First, let's find out how much money Olivia had after collecting from the atm. She initially had 3 dollars and collected 49 more. So, the total amount of money she had after collecting from the atm is 3 + 49 = 52 dollars.

2. Next, we know that after visiting the supermarket, she had 49 dollars left. This means she spent 52 - 49 = 3 dollars at the supermarket.

3. Finally, to find out how much more money she collected at the atm than she spent at the supermarket, we subtract the amount she spent at the supermarket from the amount she collected at the atm. So, the difference is 49 - 3 = 46 dollars.

Therefore, Olivia collected 46 dollars more at the atm than she spent at the supermarket.

Final answer: $\boxed{46}$",The answer is 46,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?
3,3,"

Solution:

1. Let's denote the initial number of action figures as x.
2. According to the problem, Jerry added 7 more action figures to the shelf. So, the total number of action figures on the shelf now is x + 7.
3. We know that the total number of action figures on the shelf now is 10. So, we can set up the equation: x + 7 = 10.
4. To solve for x, we subtract 7 from both sides of the equation: x + 7 - 7 = 10 - 7, which simplifies to x = 3.
5. Therefore, Jerry initially had 3 action figures on the shelf.

Final answer: $\boxed{3}$",The answer is 3,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?
9,9,"

Solution:

1. Paco initially had 41 cookies.
2. He gave 9 cookies to his friend, so he had 41 - 9 = 32 cookies left.
3. He then ate 18 cookies, so he had 32 - 18 = 14 cookies left.
4. To find out how many more cookies he ate than those he gave to his friend, we subtract the number of cookies he gave to his friend from the number of cookies he ate: 18 - 9 = 9.

Final answer: Paco ate $\boxed{9}$ more cookies than those he gave to his friend.",The answer is 9,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?
4,4,"

Solution:

1. The recipe calls for 10 cups of flour in total.
2. Mary has already added 6 cups of flour.
3. To find out how many more cups of flour she needs to add, subtract the amount she has already added from the total amount required.

Final answer: Mary needs to add $\boxed{4}$ more cups of flour.",The answer is 4,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?
21,21,"

Solution:

1. The waiter had 12 customers after 9 left.
2. To find out how many customers he had at the start, we need to add the number of customers who left to the number of customers who remained.
3. So, the waiter had 12 + 9 = 21 customers at the start.

Final answer: The waiter had $\boxed{21}$ customers at the start.",The answer is 21,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?
1,1,"

Solution:

1. Initially, there are 3 birds on the fence.
2. Then, 6 more storks come to join them.
3. After that, 2 more birds come to join them.
4. Now, there are a total of 3 (initial birds) + 6 (storks) + 2 (new birds) = 11 birds and storks on the fence.
5. Out of these 11, 6 are storks and 5 are birds (3 initial birds + 2 new birds).
6. To find out how many more storks than birds are sitting on the fence, subtract the number of birds from the number of storks: 6 (storks) - 5 (birds) = 1.

Final answer: $\boxed{1}$ more stork than bird is sitting on the fence.",The answer is 1,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?
143,143,"

Solution:

1. The problem states that they have 11 sets of tables and each set has 13 chairs.
2. To find the total number of chairs, we need to multiply the number of sets by the number of chairs in each set.
3. So, the calculation is 11 sets * 13 chairs/set = 143 chairs.
4. Therefore, they have 143 chairs in their backyard.

Final answer: $\boxed{143}$",The answer is 143,They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard?
